"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":25558}]","25559","instructions","0","25559","0.0-0.0","","","",""
"","10806","similarity_demo","1","37371","0.0-1.0","6","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":11147}]","11147","instructions","2","49519","0.0-2.0","","","",""
"","9212","similarity_demo","3","59736","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5872}]","5872","instructions","4","66608","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":89236}]","89236","instructions","5","156845","0.0-5.0","","","",""
"","14432","similarity","6","172282","0.0-6.0-0.0","5","[""img/0868/6a28c3b0-3d76-498a-9fb7-ddafc665eca8.jpg"",""img/0901/71e551a2-9ce2-409c-9c7c-dd556a0791e9.jpg""]","",""
"","15826","similarity","7","189111","0.0-6.0-1.0","2","[""img/0769/da36e3f7-2337-434f-ab57-11822dd7eed7.jpg"",""img/0867/f26f6b60-f772-4f4c-95a4-addc62cfd692.jpg""]","",""
"","10054","similarity","8","200170","0.0-6.0-2.0","1","[""img/0766/3c526a07-9e0a-4ae2-8142-00085f0127da.jpg"",""img/0898/ec565187-2e31-4fdd-9a5c-153d0c789ae0.jpg""]","",""
"","5634","similarity","9","206807","0.0-6.0-3.0","5","[""img/0902/aa6fca32-82b0-4414-b20a-8f6f8aa5a2d2.jpg"",""img/0881/19e82c47-8e4b-45d2-a6c8-74181eb4155e.jpg""]","",""
"","4475","similarity","10","212286","0.0-6.0-4.0","1","[""img/0894/b422d5c6-3c5a-49ae-a53e-7e88ac993f49.jpg"",""img/0894/133a1636-d123-4893-873c-1718050f832a.jpg""]","",""
"","4824","similarity","11","218113","0.0-6.0-5.0","6","[""img/0874/3ce41e7c-40c8-4d58-a546-171114521796.jpg"",""img/0899/a048912c-b12c-40e3-90af-46b69b0cc4fe.jpg""]","",""
"","5904","similarity","12","225021","0.0-6.0-6.0","5","[""img/0904/b5855d6a-7ef9-46ca-9215-6e9fa046e543.jpg"",""img/0764/03c07b98-3f18-4b71-bb70-ecff564a78d1.jpg""]","",""
"","4194","similarity","13","230218","0.0-6.0-7.0","5","[""img/0899/51a7a498-98c7-42d7-bca8-bc2d8f0b5831.jpg"",""img/0898/e167334e-cc1d-4986-b3b1-c7bc7da64baa.jpg""]","",""
"","4565","similarity","14","235787","0.0-6.0-8.0","2","[""img/0874/eba003b4-cdab-4eee-8bc3-f064c7d94165.jpg"",""img/0903/f45a103c-9bfe-49fd-ad96-bdd8d2589195.jpg""]","",""
"","4385","similarity","15","241176","0.0-6.0-9.0","5","[""img/0881/adc02f34-ce97-4aef-850f-00519df06fd7.jpg"",""img/0758/20497cbe-ddae-489e-86e2-ab06985ed07c.jpg""]","",""
"","3665","similarity","16","245845","0.0-6.0-10.0","6","[""img/0898/40f99fb2-64d2-4e72-8a7f-a1cf60741e69.jpg"",""img/0901/12da1841-e611-435c-9719-109413d536a8.jpg""]","",""
"","4746","similarity","17","251594","0.0-6.0-11.0","6","[""img/0903/43ffd882-077a-40dd-a264-e58d519420a1.jpg"",""img/0769/878531fd-e0e8-4ad1-b9ad-f018bb104ca0.jpg""]","",""
"","4059","similarity","18","256656","0.0-6.0-12.0","2","[""img/0764/55b3fab1-b809-4d38-a461-3f40ce062f52.jpg"",""img/0868/fd307a36-9a3a-47d7-ab7c-f810d0b35040.jpg""]","",""
"","4273","similarity","19","261932","0.0-6.0-13.0","6","[""img/0867/50a1b60e-3a29-44bf-b606-d4bd3746fea9.jpg"",""img/0903/3e9ee8a5-eb66-47f5-8973-8a5af1ddc87e.jpg""]","",""
"","4385","similarity","20","267321","0.0-6.0-14.0","6","[""img/0766/0025de5e-f620-4079-8a0f-00326ff3a6b0.jpg"",""img/0758/7fba58df-2a7a-4b76-8a8f-62739f97f271.jpg""]","",""
"","3406","similarity","21","271731","0.0-6.0-15.0","7","[""img/0902/9f543501-3cf1-45a7-a2f1-eeca87cc15b9.jpg"",""img/0860/8a92e21b-6a32-4e4a-a445-2d5a487ed0a4.jpg""]","",""
"","5511","similarity","22","278245","0.0-6.0-16.0","5","[""img/0769/bb8c4e53-6f32-4814-97ee-392d4decfb2e.jpg"",""img/0875/42910c99-5463-450a-a0f8-d4d060a11455.jpg""]","",""
"","11349","similarity","23","290597","0.0-6.0-17.0","2","[""img/0904/96e503ea-6630-4996-85f2-0237688ce441.jpg"",""img/0866/945c6710-d15b-4a5b-a8f6-69af0850357f.jpg""]","",""
