"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":32489}]","32490","instructions","0","32491","0.0-0.0","","","",""
"","12634","similarity_demo","1","46136","0.0-1.0","3","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":23073}]","23074","instructions","2","70211","0.0-2.0","","","",""
"","8407","similarity_demo","3","79623","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":11003}]","11003","instructions","4","91628","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":77608}]","77608","instructions","5","170238","0.0-5.0","","","",""
"","7934","similarity","6","179180","0.0-6.0-0.0","4","[""img/0868/d98ca254-b195-477f-b57e-5760a2717db8.jpg"",""img/0901/c6c877e0-dd63-4e00-9657-33af29d55aab.jpg""]","",""
"","5691","similarity","7","185875","0.0-6.0-1.0","1","[""img/0769/458d9c77-b844-40b5-bb1b-1e3bbd4da64e.jpg"",""img/0867/98d8cd96-1476-4fe0-a3a3-04f875500a1b.jpg""]","",""
"","7525","similarity","8","194406","0.0-6.0-2.0","2","[""img/0766/d50d734f-285c-4840-bc7a-c8dd4aff391e.jpg"",""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg""]","",""
"","6573","similarity","9","201983","0.0-6.0-3.0","3","[""img/0902/07437a16-3d0f-4a5c-89ec-36d0efa4b3b8.jpg"",""img/0881/44e09805-5a25-4f17-a716-4ad4a331b174.jpg""]","",""
"","6854","similarity","10","209844","0.0-6.0-4.0","7","[""img/0894/5c7677b0-a4f1-479e-b274-7822c415175a.jpg"",""img/0894/10f22b96-040c-44f4-950b-a4963f3f506c.jpg""]","",""
"","9430","similarity","11","220280","0.0-6.0-5.0","6","[""img/0874/ca76a855-4e77-4f2f-872a-0a718153e7ed.jpg"",""img/0899/9de5e857-aa9a-4e0c-8ba2-46d79bd069a4.jpg""]","",""
"","8396","similarity","12","229684","0.0-6.0-6.0","5","[""img/0904/5aec2708-cf14-4a58-aa30-9a8a61c1be0e.jpg"",""img/0764/6c7fe363-2d37-418f-9e5e-a3273af5d4fb.jpg""]","",""
