"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":1048}]","1048","instructions","0","1049","0.0-0.0","","","",""
"","8425","similarity_demo","1","10484","0.0-1.0","6","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":1707}]","1707","instructions","2","13192","0.0-2.0","","","",""
"","3775","similarity_demo","3","17975","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":1245}]","1246","instructions","4","20222","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":5839}]","5840","instructions","5","27063","0.0-5.0","","","",""
"","5608","similarity","6","33679","0.0-6.0-0.0","2","[""img/0868/4e626425-63c8-484a-8a1d-e66ee4e0bef8.jpg"",""img/0901/0adb3bd6-d758-4ba7-9723-3ad6cac05bd5.jpg""]","",""
"","4237","similarity","7","38925","0.0-6.0-1.0","2","[""img/0769/057eb0a0-aa5b-40c7-9852-21444f68d767.jpg"",""img/0867/5e07b34d-b40f-4b1c-ac10-49975bace45f.jpg""]","",""
"","4571","similarity","8","44509","0.0-6.0-2.0","3","[""img/0766/60033a74-9919-47e5-913c-71d0d483e7e5.jpg"",""img/0898/04e39a7a-fcf6-4156-ab0e-f5871f335e1c.jpg""]","",""
"","4650","similarity","9","50179","0.0-6.0-3.0","3","[""img/0902/c9c74d2d-9b82-42d7-a9d0-3b8ff67ff81e.jpg"",""img/0881/62a64f90-7a72-4aee-a1a1-0c548ac9bdda.jpg""]","",""
"","5244","similarity","10","56430","0.0-6.0-4.0","6","[""img/0894/10f22b96-040c-44f4-950b-a4963f3f506c.jpg"",""img/0894/6aa5545f-fa7d-4286-bbaa-aaf34dc7ec96.jpg""]","",""
"","4182","similarity","11","61620","0.0-6.0-5.0","1","[""img/0874/29830da7-be5f-44e5-b141-652a0ccf7269.jpg"",""img/0899/fd9efb43-701f-4cd6-baaa-4c38315f4bdc.jpg""]","",""
"","4028","similarity","12","66655","0.0-6.0-6.0","6","[""img/0904/0d25eb24-bb20-4e8d-9787-8b489558b4cb.jpg"",""img/0764/c84fbfa8-521c-407a-9bd3-24f7308d896c.jpg""]","",""
"","3912","similarity","13","71575","0.0-6.0-7.0","5","[""img/0899/06b0fc99-0581-461a-9913-d1a5a941ac61.jpg"",""img/0898/e167334e-cc1d-4986-b3b1-c7bc7da64baa.jpg""]","",""
"","4012","similarity","14","76597","0.0-6.0-8.0","1","[""img/0874/7e4f2150-3b59-4a36-b5da-a4e0ba410531.jpg"",""img/0903/6f343da5-00d9-4d50-89d1-2ed24cdb8319.jpg""]","",""
