"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":1731}]","1731","instructions","0","1734","0.0-0.0","","","",""
"","5709","similarity_demo","1","8473","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":11492}]","11493","instructions","2","20978","0.0-2.0","","","",""
"","3581","similarity_demo","3","25569","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5082}]","5082","instructions","4","31663","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":4025}]","4025","instructions","5","36705","0.0-5.0","","","",""
"","4995","similarity","6","42731","0.0-6.0-0.0","3","[""img/0868/5fa7f9d0-f0e5-454c-8224-74d964818f56.jpg"",""img/0901/a6c90438-fa7c-4418-ac7c-16c2e772dd98.jpg""]","",""
"","5284","similarity","7","49027","0.0-6.0-1.0","1","[""img/0769/11518cb3-13ea-4dd0-890c-30cfab728ade.jpg"",""img/0867/bf560d4f-dee3-4f11-a385-705cc1aa5f3c.jpg""]","",""
"","3468","similarity","8","53514","0.0-6.0-2.0","5","[""img/0766/f3276cc4-65de-4c2d-88d5-6cfebce14b8f.jpg"",""img/0898/0af304a2-6a7a-4082-ab7c-4450cd08cc58.jpg""]","",""
"","5562","similarity","9","60100","0.0-6.0-3.0","3","[""img/0902/fbef27fa-ac83-4936-ab78-9d1c20a383e1.jpg"",""img/0881/19e82c47-8e4b-45d2-a6c8-74181eb4155e.jpg""]","",""
"","5639","similarity","10","66762","0.0-6.0-4.0","7","[""img/0894/7fb082e0-ce79-485c-9109-04367fb32275.jpg"",""img/0894/bd34223a-2f66-4e16-9d18-193a746b69ff.jpg""]","",""
"","6885","similarity","11","74675","0.0-6.0-5.0","4","[""img/0874/85eb9b8a-c4c6-4e5a-b8e7-363a87a82054.jpg"",""img/0899/7f9d45d0-b2c6-40d3-aa41-c207db2c411b.jpg""]","",""
"","5257","similarity","12","80948","0.0-6.0-6.0","5","[""img/0904/5aec2708-cf14-4a58-aa30-9a8a61c1be0e.jpg"",""img/0764/55b3fab1-b809-4d38-a461-3f40ce062f52.jpg""]","",""
"","5061","similarity","13","87033","0.0-6.0-7.0","5","[""img/0899/d60714ae-98d7-4564-8c98-94dba1351135.jpg"",""img/0898/ec565187-2e31-4fdd-9a5c-153d0c789ae0.jpg""]","",""
"","5443","similarity","14","93502","0.0-6.0-8.0","1","[""img/0874/31e22c7c-99aa-40b1-bf03-dd73fa2df4d6.jpg"",""img/0903/3e9ee8a5-eb66-47f5-8973-8a5af1ddc87e.jpg""]","",""
"","6179","similarity","15","100698","0.0-6.0-9.0","7","[""img/0881/609a5e93-38b5-4940-8627-2bf8fad7f802.jpg"",""img/0758/d540bee6-b460-4c32-ac57-bc282742d7d4.jpg""]","",""
"","6253","similarity","16","107960","0.0-6.0-10.0","5","[""img/0898/f3a3f225-1248-4ac7-b93b-f0ff28485bf3.jpg"",""img/0901/b123d109-47b4-4f9a-80c9-9bb16da42efa.jpg""]","",""
"","5782","similarity","17","114758","0.0-6.0-11.0","5","[""img/0903/6b5dcc60-3ad3-4962-93e5-e6cf768477af.jpg"",""img/0769/9ea9ceb6-049e-4ad9-be8f-00645cd35803.jpg""]","",""
"","4818","similarity","18","120594","0.0-6.0-12.0","1","[""img/0764/1f95ab5f-fb65-4d70-b5db-d6bd6351a8aa.jpg"",""img/0868/179a5502-ab5c-478e-8263-5a1fbcc101d2.jpg""]","",""
"","4720","similarity","19","126333","0.0-6.0-13.0","1","[""img/0867/a749dddb-69f0-44a6-acdc-2bf295cf6dcc.jpg"",""img/0903/647ce311-8c71-479a-8361-961db1457139.jpg""]","",""
"","5763","similarity","20","133112","0.0-6.0-14.0","1","[""img/0766/00891401-e4c9-4ce1-bc19-f70740d174bc.jpg"",""img/0758/eabcd7a8-56ad-4fd2-bc24-90f6b7b33265.jpg""]","",""
"","5899","similarity","21","140025","0.0-6.0-15.0","3","[""img/0902/31abfa33-7cdb-44ad-968e-9f7b324d577a.jpg"",""img/0860/c47fdead-eb02-4989-b078-26f4852f44fe.jpg""]","",""
"","5678","similarity","22","146723","0.0-6.0-16.0","4","[""img/0769/8c7cf147-1780-4d5c-8ddf-5ea23ff03ac9.jpg"",""img/0875/34132396-d896-4c2d-8087-646dd867e769.jpg""]","",""
"","4462","similarity","23","152203","0.0-6.0-17.0","2","[""img/0904/60d1a521-edf7-4696-9263-f21ac0e62a01.jpg"",""img/0866/620cd1aa-0800-4414-8f6e-90342e7a99ad.jpg""]","",""
"","4794","similarity","24","158017","0.0-6.0-18.0","7","[""img/0875/e7e66b13-b573-431e-b85e-288ce04a35a3.jpg"",""img/0875/cff79b3a-a797-4393-9757-6275f999ec04.jpg""]","",""
"","5542","similarity","25","164576","0.0-6.0-19.0","7","[""img/0758/3ddd05d3-557e-4ee7-8b78-9d2d681d8ae2.jpg"",""img/0758/65d426d6-3ff6-415d-8654-a43b83ecc4fe.jpg""]","",""
"","10520","similarity","26","176110","0.0-6.0-20.0","2","[""img/0902/c018bd7a-d91a-4192-aea4-7259cfcdb6c4.jpg"",""img/0874/ca76a855-4e77-4f2f-872a-0a718153e7ed.jpg""]","",""
"","5086","similarity","27","182213","0.0-6.0-21.0","5","[""img/0764/56441045-b648-4ede-9632-3e9c0227080b.jpg"",""img/0769/91acb237-65a3-4d0b-9748-af5c7b83d3c7.jpg""]","",""
"","4210","similarity","28","187434","0.0-6.0-22.0","1","[""img/0901/6e2957f8-f5ab-46f4-87cc-bb50155a098b.jpg"",""img/0874/2c9464dd-8a23-4baa-ac94-1ba3af5c15cc.jpg""]","",""
