"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":31475}]","31478","instructions","0","31480","0.0-0.0","","","",""
"","7608","similarity_demo","1","40120","0.0-1.0","6","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":16613}]","16613","instructions","2","57739","0.0-2.0","","","",""
"","6061","similarity_demo","3","64815","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7306}]","7311","instructions","4","73132","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":73265}]","73265","instructions","5","147400","0.0-5.0","","","",""
"","6107","similarity","6","154527","0.0-6.0-0.0","1","[""img/0868/83b4350a-3b70-4cea-b7f5-b5b56f3050a8.jpg"",""img/0901/a9b9c0a0-8aed-4888-a78a-65fb7e764d13.jpg""]","",""
"","4731","similarity","7","160270","0.0-6.0-1.0","1","[""img/0769/0fe124d3-bcad-45f6-b64d-8f6eb8ee5251.jpg"",""img/0867/26611f4e-d694-4460-b7e2-43c62753ddc3.jpg""]","",""
"","4606","similarity","8","165882","0.0-6.0-2.0","5","[""img/0766/f5f78e4e-d88f-4866-951a-118ba9fec4d0.jpg"",""img/0898/4184e5a2-84ea-4f36-9b42-ae58646f6f87.jpg""]","",""
"","5816","similarity","9","172705","0.0-6.0-3.0","1","[""img/0902/94198618-7047-4dc9-ad04-85f4ba913067.jpg"",""img/0881/44e09805-5a25-4f17-a716-4ad4a331b174.jpg""]","",""
"","5623","similarity","10","179349","0.0-6.0-4.0","7","[""img/0894/86201968-6e78-4d68-9b3a-d1692e066210.jpg"",""img/0894/6aa5545f-fa7d-4286-bbaa-aaf34dc7ec96.jpg""]","",""
"","5534","similarity","11","185891","0.0-6.0-5.0","1","[""img/0874/3f471690-9788-4d03-90c7-f615aecef149.jpg"",""img/0899/fd9efb43-701f-4cd6-baaa-4c38315f4bdc.jpg""]","",""
"","5196","similarity","12","192105","0.0-6.0-6.0","5","[""img/0904/ba8e689e-9ca6-4608-a2a1-3b0940666ae6.jpg"",""img/0764/4952d0a0-c9be-471a-8ec7-94a37bf4051d.jpg""]","",""
"","5828","similarity","13","198946","0.0-6.0-7.0","6","[""img/0899/8de08897-b430-42fe-9d42-840670b80f94.jpg"",""img/0898/40f99fb2-64d2-4e72-8a7f-a1cf60741e69.jpg""]","",""
"","5373","similarity","14","205337","0.0-6.0-8.0","4","[""img/0874/c0378dac-9370-439a-8b79-db27c96fb390.jpg"",""img/0903/f10e9eb5-0c21-4a6a-944c-5f10a6d0fa4d.jpg""]","",""
"","5936","similarity","15","212291","0.0-6.0-9.0","6","[""img/0881/f8bd891e-aa09-4782-89db-33e7cb2b0cf1.jpg"",""img/0758/a085b443-b5d7-4cb2-9ad4-b9dab0fc23f1.jpg""]","",""
"","6713","similarity","16","220011","0.0-6.0-10.0","4","[""img/0898/f3a3f225-1248-4ac7-b93b-f0ff28485bf3.jpg"",""img/0901/fb0a8e69-7f19-4e6e-a6bb-a48f97f9b4f3.jpg""]","",""
"","4838","similarity","17","225860","0.0-6.0-11.0","4","[""img/0903/647ce311-8c71-479a-8361-961db1457139.jpg"",""img/0769/3adfa417-3b90-4aab-b437-5eaa474189cb.jpg""]","",""
"","3629","similarity","18","230503","0.0-6.0-12.0","1","[""img/0764/23ea9375-f801-4a96-9925-7d453da887c7.jpg"",""img/0868/179a5502-ab5c-478e-8263-5a1fbcc101d2.jpg""]","",""
"","4949","similarity","19","236463","0.0-6.0-13.0","1","[""img/0867/179ab87a-8eac-4c52-a41f-2e48e3120f09.jpg"",""img/0903/e2e55a9e-0397-4dc0-8adf-4a54cfefe1fe.jpg""]","",""
"","4079","similarity","20","241551","0.0-6.0-14.0","2","[""img/0766/27f54113-8561-4568-9ffe-0a1650ae65ec.jpg"",""img/0758/ddc336e9-a8b6-4bb9-937a-c7e25e0e9250.jpg""]","",""
"","5347","similarity","21","247912","0.0-6.0-15.0","2","[""img/0902/fbef27fa-ac83-4936-ab78-9d1c20a383e1.jpg"",""img/0860/b03b963d-949b-4d8d-b19c-4950c89eeca2.jpg""]","",""
"","4925","similarity","22","253845","0.0-6.0-16.0","1","[""img/0769/8c7cf147-1780-4d5c-8ddf-5ea23ff03ac9.jpg"",""img/0875/527ced51-8e53-4aab-ab05-86df219104c0.jpg""]","",""
"","4005","similarity","23","258861","0.0-6.0-17.0","1","[""img/0904/4e58005d-a2ec-4aaa-b199-445343561396.jpg"",""img/0866/0207e9a2-7dbb-40b5-9459-b472aaeceb2a.jpg""]","",""
"","3442","similarity","24","263307","0.0-6.0-18.0","7","[""img/0875/90da8d75-108a-44ad-b999-e21fee3860d3.jpg"",""img/0875/03c3c331-738b-4446-af92-3d7386b08c2e.jpg""]","",""
