"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":6039}]","6039","instructions","0","6040","0.0-0.0","","","",""
"","5172","similarity_demo","1","12217","0.0-1.0","4","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5981}]","5981","instructions","2","19199","0.0-2.0","","","",""
"","4695","similarity_demo","3","24898","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":4022}]","4023","instructions","4","29922","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":5611}]","5611","instructions","5","36534","0.0-5.0","","","",""
"","3891","similarity","6","41429","0.0-6.0-0.0","2","[""img/0868/7b212364-ff5f-4e28-9241-7eb6ea00161b.jpg"",""img/0901/deff6cfb-0072-4490-bc3e-206bbcd3e8bf.jpg""]","",""
"","3793","similarity","7","46228","0.0-6.0-1.0","3","[""img/0769/9ea9ceb6-049e-4ad9-be8f-00645cd35803.jpg"",""img/0867/26611f4e-d694-4460-b7e2-43c62753ddc3.jpg""]","",""
"","3076","similarity","8","50309","0.0-6.0-2.0","5","[""img/0766/75c3d627-4f3b-40d5-9d9c-10c8a62db644.jpg"",""img/0898/5f699581-3853-4547-856c-12f419ba5af7.jpg""]","",""
"","3627","similarity","9","54938","0.0-6.0-3.0","5","[""img/0902/94ee9c53-a9a2-4f95-b9b7-794a5fc62bb6.jpg"",""img/0881/0c7068da-d0d9-4103-bda1-74ef7a2b32c3.jpg""]","",""
"","2875","similarity","10","58817","0.0-6.0-4.0","6","[""img/0894/5f15154e-e72e-4ce5-aafb-bce6f0564006.jpg"",""img/0894/7dd6ff43-f8fc-408a-8a41-a2b261871820.jpg""]","",""
"","3787","similarity","11","63608","0.0-6.0-5.0","7","[""img/0874/3ce41e7c-40c8-4d58-a546-171114521796.jpg"",""img/0899/b45c550b-96c3-4255-ad59-48a2b4db1c1e.jpg""]","",""
"","3225","similarity","12","67836","0.0-6.0-6.0","3","[""img/0904/5cceabc9-de1d-4c67-989b-c28a4ef77e79.jpg"",""img/0764/3297a811-ea8b-4d74-9547-59cecab7293a.jpg""]","",""
"","3301","similarity","13","72141","0.0-6.0-7.0","6","[""img/0899/8abe6c69-822c-436c-9bf2-96c818b49ba5.jpg"",""img/0898/a8f16b02-e19f-423b-86c3-a36562ae1f9b.jpg""]","",""
"","2944","similarity","14","76088","0.0-6.0-8.0","5","[""img/0874/93d1f8dc-acf2-4f03-bd8d-8ec35df276ed.jpg"",""img/0903/aa842abe-6fa3-448a-bf71-88d3ad28663b.jpg""]","",""
"","2575","similarity","15","79666","0.0-6.0-9.0","7","[""img/0881/4da99fdd-1f40-4bbb-8e21-8833eef313f5.jpg"",""img/0758/e1ba5e53-addc-436a-b428-d34fc1b130dc.jpg""]","",""
"","2605","similarity","16","83274","0.0-6.0-10.0","5","[""img/0898/b2732712-71c2-45d8-834f-2b2ed5504910.jpg"",""img/0901/da4fe30f-d12a-491e-96a2-5ab8ebaadd09.jpg""]","",""
