"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":29024}]","29026","instructions","0","29030","0.0-0.0","","","",""
"","12578","similarity_demo","1","42632","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":8580}]","8580","instructions","2","52213","0.0-2.0","","","",""
"","5582","similarity_demo","3","58807","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":4422}]","4422","instructions","4","64229","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":42711}]","42711","instructions","5","107941","0.0-5.0","","","",""
"","7990","similarity","6","116936","0.0-6.0-0.0","2","[""img/0868/3a62db2d-97e9-44a3-b8e3-a48c6f0e423b.jpg"",""img/0901/875dedb9-24c9-4443-9f8c-85e97d70ee5a.jpg""]","",""
"","5756","similarity","7","123694","0.0-6.0-1.0","3","[""img/0769/3c1efec9-f8fd-487d-8955-4be88e48c832.jpg"",""img/0867/bf560d4f-dee3-4f11-a385-705cc1aa5f3c.jpg""]","",""
"","4021","similarity","8","128727","0.0-6.0-2.0","2","[""img/0766/ba35c0fc-4d5b-490d-959e-c94b279cdd02.jpg"",""img/0898/f3a3f225-1248-4ac7-b93b-f0ff28485bf3.jpg""]","",""
"","4138","similarity","9","133871","0.0-6.0-3.0","2","[""img/0902/d2c34af0-8c50-437d-8cc3-619195a3e8ba.jpg"",""img/0881/b549bc99-a61c-4450-bab5-9efc3a197bf0.jpg""]","",""
"","5919","similarity","10","140798","0.0-6.0-4.0","5","[""img/0894/151063aa-6472-4745-837b-36603aba5966.jpg"",""img/0894/792c83e9-a747-4000-bc72-5663d2439edb.jpg""]","",""
"","5308","similarity","11","147111","0.0-6.0-5.0","6","[""img/0874/2c9464dd-8a23-4baa-ac94-1ba3af5c15cc.jpg"",""img/0899/93494f3b-d539-4075-b027-d82e344563da.jpg""]","",""
"","4323","similarity","12","152446","0.0-6.0-6.0","2","[""img/0904/b5855d6a-7ef9-46ca-9215-6e9fa046e543.jpg"",""img/0764/d7f3ac54-318a-4dac-a06b-62bed34d01a4.jpg""]","",""
"","6203","similarity","13","159654","0.0-6.0-7.0","3","[""img/0899/56a605c3-d0a2-4215-89e1-779279d85a7c.jpg"",""img/0898/b3290bf9-215b-4b45-b21a-65bdf73f142f.jpg""]","",""
"","4342","similarity","14","165007","0.0-6.0-8.0","1","[""img/0874/767f289c-9814-4496-803f-745cc8913d1f.jpg"",""img/0903/81368973-de81-46f4-844f-b901f3bfd66d.jpg""]","",""
"","7375","similarity","15","173391","0.0-6.0-9.0","2","[""img/0881/d373cb9f-a719-4549-a2a4-82def79fb2a5.jpg"",""img/0758/eabcd7a8-56ad-4fd2-bc24-90f6b7b33265.jpg""]","",""
"","5895","similarity","16","180294","0.0-6.0-10.0","6","[""img/0898/993d8f2d-bef7-4251-a193-0f93a32b7763.jpg"",""img/0901/5657dd86-0ff9-4753-ba2b-9dfb223e5c89.jpg""]","",""
"","5471","similarity","17","186776","0.0-6.0-11.0","3","[""img/0903/5c6b1f57-b3a2-40f5-9fb1-82785e24b6a0.jpg"",""img/0769/878531fd-e0e8-4ad1-b9ad-f018bb104ca0.jpg""]","",""
"","3884","similarity","18","191671","0.0-6.0-12.0","1","[""img/0764/cbdc4f20-3a9a-4211-9b40-090699e0abcc.jpg"",""img/0868/83b4350a-3b70-4cea-b7f5-b5b56f3050a8.jpg""]","",""
"","3854","similarity","19","196535","0.0-6.0-13.0","1","[""img/0867/98d8cd96-1476-4fe0-a3a3-04f875500a1b.jpg"",""img/0903/150cf64c-0bd2-4674-abbb-a1387cf1f3e9.jpg""]","",""
"","4991","similarity","20","202533","0.0-6.0-14.0","2","[""img/0766/fd74fdbb-ea40-4f3a-a091-38d08dfd636e.jpg"",""img/0758/6e95579b-5166-487c-b8cb-e417c6a218e3.jpg""]","",""
"","3807","similarity","21","207350","0.0-6.0-15.0","3","[""img/0902/3b243e54-0803-4c29-af42-4037c2118495.jpg"",""img/0860/4f695df5-afac-4da7-9875-fee39b0b24ad.jpg""]","",""
"","5194","similarity","22","213551","0.0-6.0-16.0","3","[""img/0769/ebef2ddc-ba59-4e0e-97f8-927864eb5081.jpg"",""img/0875/03c3c331-738b-4446-af92-3d7386b08c2e.jpg""]","",""
"","5577","similarity","23","220135","0.0-6.0-17.0","1","[""img/0904/0d25eb24-bb20-4e8d-9787-8b489558b4cb.jpg"",""img/0866/bf14b5bd-fb55-47db-86b9-4f8aeb9a6dad.jpg""]","",""
"","4365","similarity","24","225511","0.0-6.0-18.0","7","[""img/0875/5a1e5100-0d94-4fec-bbe9-ca9894d2cf8e.jpg"",""img/0875/90da8d75-108a-44ad-b999-e21fee3860d3.jpg""]","",""
"","5333","similarity","25","231855","0.0-6.0-19.0","7","[""img/0758/e1ba5e53-addc-436a-b428-d34fc1b130dc.jpg"",""img/0758/b76ceca7-95ac-46e4-ac13-da02c8e93be9.jpg""]","",""
"","4612","similarity","26","237471","0.0-6.0-20.0","2","[""img/0902/af45fe42-178c-4c1a-99ef-256e87e3b092.jpg"",""img/0874/29830da7-be5f-44e5-b141-652a0ccf7269.jpg""]","",""
"","5086","similarity","27","243566","0.0-6.0-21.0","7","[""img/0764/62fafeea-6274-48ce-976f-35d3d3484c65.jpg"",""img/0769/75f7e514-0548-4329-b1e4-93c05e74f038.jpg""]","",""
"","4188","similarity","28","248766","0.0-6.0-22.0","1","[""img/0901/5b97abf9-f0c8-4fd1-b921-36d574779078.jpg"",""img/0874/7e4f2150-3b59-4a36-b5da-a4e0ba410531.jpg""]","",""
"","5374","similarity","29","255150","0.0-6.0-23.0","3","[""img/0875/dbdd643e-6d0e-4a5c-ab57-b9c29b9c981a.jpg"",""img/0903/f45a103c-9bfe-49fd-ad96-bdd8d2589195.jpg""]","",""
"","4252","similarity","30","260415","0.0-6.0-24.0","3","[""img/0769/bb8c4e53-6f32-4814-97ee-392d4decfb2e.jpg"",""img/0881/566f45f8-5fed-4479-a60f-26377e60a62d.jpg""]","",""
"","3876","similarity","31","265296","0.0-6.0-25.0","2","[""img/0867/f8159067-056c-41f1-a136-c529fe5e970a.jpg"",""img/0904/06dacdc5-2206-4fb8-92b7-88042d22833c.jpg""]","",""
"","4071","similarity","32","270374","0.0-6.0-26.0","1","[""img/0860/d9a0d117-6d1d-41c0-8fec-9aff0fd9e9f2.jpg"",""img/0881/c24f3051-eefa-42de-aba6-fccb56d93c70.jpg""]","",""
"","4743","similarity","33","276126","0.0-6.0-27.0","7","[""img/0866/6f2a90d7-14f1-4f1b-bd64-fc0af6b9fe44.jpg"",""img/0866/386235d2-6857-41e7-88a8-25cfc3430025.jpg""]","",""
"","3541","similarity","34","280678","0.0-6.0-28.0","1","[""img/0764/56441045-b648-4ede-9632-3e9c0227080b.jpg"",""img/0862/53a9cf7c-93c4-41b9-952f-07d17f7a17b2.jpg""]","",""
"","4439","similarity","35","286127","0.0-6.0-29.0","1","[""img/0904/2c98dc56-88d1-4fb5-a999-b6a7861f65f0.jpg"",""img/0758/caa93da2-9edf-49fa-96b9-32dedd8f5078.jpg""]","",""
"","5835","similarity","36","292968","0.0-6.0-30.0","4","[""img/0894/7fb082e0-ce79-485c-9109-04367fb32275.jpg"",""img/0899/00715b3f-851b-420b-a26b-d7f79f7759a9.jpg""]","",""
"","4179","similarity","37","298150","0.0-6.0-31.0","2","[""img/0860/e8b8c51e-1834-4875-8b61-6c5bc9b178bd.jpg"",""img/0904/5aec2708-cf14-4a58-aa30-9a8a61c1be0e.jpg""]","",""
