"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":48456}]","48456","instructions","0","48458","0.0-0.0","","","",""
"","8610","similarity_demo","1","58081","0.0-1.0","3","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":22109}]","22109","instructions","2","81191","0.0-2.0","","","",""
"","5128","similarity_demo","3","87328","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7445}]","7445","instructions","4","95775","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":30359}]","30359","instructions","5","127135","0.0-5.0","","","",""
"","4648","similarity","6","132792","0.0-6.0-0.0","1","[""img/0868/09a9ef4d-d000-4cfa-a6aa-ebec7c2edeb4.jpg"",""img/0901/2a953e50-d237-405c-a38d-5ed21494c968.jpg""]","",""
"","4234","similarity","7","138032","0.0-6.0-1.0","1","[""img/0769/878531fd-e0e8-4ad1-b9ad-f018bb104ca0.jpg"",""img/0867/5e07b34d-b40f-4b1c-ac10-49975bace45f.jpg""]","",""
"","6991","similarity","8","146031","0.0-6.0-2.0","4","[""img/0766/535849cc-ff5d-4df9-8f31-0ce94a97d571.jpg"",""img/0898/8605a25b-6895-476d-8c13-df7a83f96093.jpg""]","",""
"","4300","similarity","9","151336","0.0-6.0-3.0","2","[""img/0902/30c420f5-c714-4681-ae5a-c0ba8f636a26.jpg"",""img/0881/19e82c47-8e4b-45d2-a6c8-74181eb4155e.jpg""]","",""
"","5760","similarity","10","158104","0.0-6.0-4.0","7","[""img/0894/767a0eec-1064-46b1-b1aa-dfa02b0cd74e.jpg"",""img/0894/bd34223a-2f66-4e16-9d18-193a746b69ff.jpg""]","",""
"","4633","similarity","11","163743","0.0-6.0-5.0","3","[""img/0874/85eb9b8a-c4c6-4e5a-b8e7-363a87a82054.jpg"",""img/0899/9de5e857-aa9a-4e0c-8ba2-46d79bd069a4.jpg""]","",""
"","5474","similarity","12","170223","0.0-6.0-6.0","4","[""img/0904/d23dd7be-7fe8-4435-82f7-bd592c01e6a1.jpg"",""img/0764/f713847b-4832-42d1-8fb3-e17e37fd745c.jpg""]","",""
"","3537","similarity","13","174767","0.0-6.0-7.0","4","[""img/0899/51a7a498-98c7-42d7-bca8-bc2d8f0b5831.jpg"",""img/0898/40f99fb2-64d2-4e72-8a7f-a1cf60741e69.jpg""]","",""
"","3649","similarity","14","179424","0.0-6.0-8.0","2","[""img/0874/adf9a8f1-c40b-402b-b95b-1e85a54a7b62.jpg"",""img/0903/647ce311-8c71-479a-8361-961db1457139.jpg""]","",""
"","7313","similarity","15","187743","0.0-6.0-9.0","5","[""img/0881/b549bc99-a61c-4450-bab5-9efc3a197bf0.jpg"",""img/0758/a085b443-b5d7-4cb2-9ad4-b9dab0fc23f1.jpg""]","",""
"","5155","similarity","16","193903","0.0-6.0-10.0","5","[""img/0898/b3290bf9-215b-4b45-b21a-65bdf73f142f.jpg"",""img/0901/1ede21d9-384f-4150-86b5-e1c57b5dc1d4.jpg""]","",""
"","3347","similarity","17","198256","0.0-6.0-11.0","4","[""img/0903/0a92ec52-4e87-410a-857a-4455cde56a70.jpg"",""img/0769/50985283-d353-4abc-9abe-14a91d56ebe6.jpg""]","",""
"","3272","similarity","18","202535","0.0-6.0-12.0","1","[""img/0764/ec2dd087-c471-4370-b570-95a542506a96.jpg"",""img/0868/e0aff734-077f-40dd-9781-74821abd3621.jpg""]","",""
"","3858","similarity","19","207399","0.0-6.0-13.0","1","[""img/0867/6e19c858-b606-45b2-a4c6-910a73f1d82c.jpg"",""img/0903/45e2d600-57ff-4d69-b22c-0c7896cd38f0.jpg""]","",""
"","3074","similarity","20","211479","0.0-6.0-14.0","1","[""img/0766/e8052e17-9dae-4139-802b-6e590cb2d526.jpg"",""img/0758/7fba58df-2a7a-4b76-8a8f-62739f97f271.jpg""]","",""
"","4395","similarity","21","216880","0.0-6.0-15.0","2","[""img/0902/fbef27fa-ac83-4936-ab78-9d1c20a383e1.jpg"",""img/0860/99c589b9-9140-4d17-90c0-b344323edcda.jpg""]","",""
"","5312","similarity","22","223200","0.0-6.0-16.0","1","[""img/0769/04347740-f8f6-48bb-887a-f68babd0a0d4.jpg"",""img/0875/cff79b3a-a797-4393-9757-6275f999ec04.jpg""]","",""
"","2994","similarity","23","227199","0.0-6.0-17.0","1","[""img/0904/56e73f28-7e64-489b-a161-e6b1a063878d.jpg"",""img/0866/93a27239-8317-4e08-98ca-d8b1ff298e07.jpg""]","",""
"","4768","similarity","24","232975","0.0-6.0-18.0","7","[""img/0875/03c3c331-738b-4446-af92-3d7386b08c2e.jpg"",""img/0875/e7e66b13-b573-431e-b85e-288ce04a35a3.jpg""]","",""
"","3578","similarity","25","237559","0.0-6.0-19.0","7","[""img/0758/b76ceca7-95ac-46e4-ac13-da02c8e93be9.jpg"",""img/0758/f61ecdf8-a7d4-4db0-b84d-be46f7cfaffc.jpg""]","",""
"","2923","similarity","26","241488","0.0-6.0-20.0","1","[""img/0902/22ed3536-288b-452e-9777-0fa0ab94deb0.jpg"",""img/0874/29830da7-be5f-44e5-b141-652a0ccf7269.jpg""]","",""
"","4730","similarity","27","247223","0.0-6.0-21.0","5","[""img/0764/713cc27e-2338-4486-bfe9-5f5725fbd7a0.jpg"",""img/0769/da36e3f7-2337-434f-ab57-11822dd7eed7.jpg""]","",""
"","2626","similarity","28","250855","0.0-6.0-22.0","1","[""img/0901/ae1e6ce4-2e10-4ca9-b1e7-21628637ab74.jpg"",""img/0874/8cdb1c07-1c32-46d2-981c-3636560fa6e5.jpg""]","",""
"","4625","similarity","29","256487","0.0-6.0-23.0","1","[""img/0875/527ced51-8e53-4aab-ab05-86df219104c0.jpg"",""img/0903/c3cb4a01-2797-43ca-b216-88c67b323fbb.jpg""]","",""
"","3562","similarity","30","261055","0.0-6.0-24.0","1","[""img/0769/387a9744-d6a7-42b8-bab8-33007ec434aa.jpg"",""img/0881/54ea8e77-c7e5-4197-b7fa-00b7020849a7.jpg""]","",""
"","2920","similarity","31","264983","0.0-6.0-25.0","1","[""img/0867/26611f4e-d694-4460-b7e2-43c62753ddc3.jpg"",""img/0904/5aec2708-cf14-4a58-aa30-9a8a61c1be0e.jpg""]","",""
"","3802","similarity","32","269792","0.0-6.0-26.0","2","[""img/0860/c5ccd1a4-4bb7-48e1-9b25-72cfaf06909b.jpg"",""img/0881/405484ae-0d00-4b05-bc57-6420a36adfac.jpg""]","",""
"","5097","similarity","33","275896","0.0-6.0-27.0","5","[""img/0866/8efcaa46-83ab-4dee-a35f-850402aa21ae.jpg"",""img/0866/620cd1aa-0800-4414-8f6e-90342e7a99ad.jpg""]","",""
"","3004","similarity","34","279905","0.0-6.0-28.0","1","[""img/0764/a3226bc4-dcc3-4608-bde8-1414d685ce5c.jpg"",""img/0862/ba89835a-408c-480b-8594-ed4ffa97eb5c.jpg""]","",""
"","3849","similarity","35","284760","0.0-6.0-29.0","1","[""img/0904/9dd5708f-3f8b-46a9-b49f-2f2fab87b357.jpg"",""img/0758/20497cbe-ddae-489e-86e2-ab06985ed07c.jpg""]","",""
"","6929","similarity","36","292696","0.0-6.0-30.0","4","[""img/0894/5ff3c4f6-52e2-4075-8679-be0312e59703.jpg"",""img/0899/4f7bc593-8ddd-4da3-a0b9-84da730d3370.jpg""]","",""
"","4562","similarity","37","298264","0.0-6.0-31.0","2","[""img/0860/29a21a9f-54bb-4093-ad3f-04823ceaa89f.jpg"",""img/0904/06dacdc5-2206-4fb8-92b7-88042d22833c.jpg""]","",""
"","5754","similarity","38","305024","0.0-6.0-32.0","5","[""img/0874/767f289c-9814-4496-803f-745cc8913d1f.jpg"",""img/0881/4da99fdd-1f40-4bbb-8e21-8833eef313f5.jpg""]","",""
"","3578","similarity","39","309609","0.0-6.0-33.0","1","[""img/0881/62a64f90-7a72-4aee-a1a1-0c548ac9bdda.jpg"",""img/0899/d60714ae-98d7-4564-8c98-94dba1351135.jpg""]","",""
"","6152","similarity","40","316768","0.0-6.0-34.0","4","[""img/0866/4a87911a-d5be-4d4e-ab8e-3d1f581bf507.jpg"",""img/0862/5d887e9f-89e2-4ebc-80a0-6d46fe6480db.jpg""]","",""
"","2874","similarity","41","320649","0.0-6.0-35.0","1","[""img/0868/15dd6fd7-791e-4b53-b203-195d617521a4.jpg"",""img/0894/43216a7f-27bc-4b5a-8841-d122a30da9d9.jpg""]","",""
"","3706","similarity","42","325360","0.0-6.0-36.0","7","[""img/0860/702bd09d-df3a-40aa-a267-5f04474305b5.jpg"",""img/0860/8fdba999-b946-4c7d-9891-336018b563ef.jpg""]","",""
"","3250","similarity","43","329616","0.0-6.0-37.0","5","[""img/0862/47ed5efd-4ec9-4b74-bb4e-a5f5cf0c3e7d.jpg"",""img/0864/8ddd2e30-a1d0-479f-9cbe-591213023893.jpg""]","",""
"","3442","similarity","44","334064","0.0-6.0-38.0","1","[""img/0766/ae0fce93-fe8d-4aa1-87ca-4c3e4b889f2f.jpg"",""img/0866/be24ab58-230e-4db8-9f45-ff04c9aec6bb.jpg""]","",""
"","3113","similarity","45","338184","0.0-6.0-39.0","1","[""img/0875/99698b4d-b4a1-44bc-8c83-8ea755bbbf61.jpg"",""img/0898/4184e5a2-84ea-4f36-9b42-ae58646f6f87.jpg""]","",""
"","5162","similarity","46","344352","0.0-6.0-40.0","5","[""img/0766/110832e5-2646-4bd0-a94e-5df8cc314269.jpg"",""img/0769/c7cfacc3-7f07-46ff-9f5d-8073f4c4679b.jpg""]","",""
"","3042","similarity","47","367712","0.0-6.0-41.0","1","[""img/0874/99f6563c-8a8d-4c1c-a41d-667b618c3fd5.jpg"",""img/0764/3297a811-ea8b-4d74-9547-59cecab7293a.jpg""]","",""
"","5370","similarity","48","374088","0.0-6.0-42.0","1","[""img/0868/4e626425-63c8-484a-8a1d-e66ee4e0bef8.jpg"",""img/0902/d5e25767-e8ec-45f3-ac0a-7b4a6f7a9edc.jpg""]","",""
"","3962","similarity","49","379056","0.0-6.0-43.0","1","[""img/0875/a4935837-7d3c-4df6-88c1-36a94d4991ca.jpg"",""img/0899/66bf4113-ee12-426c-84d2-ea410b6c803e.jpg""]","",""
"","4538","similarity","50","384600","0.0-6.0-44.0","4","[""img/0866/c446214b-a368-4c65-ae39-ea46894256ab.jpg"",""img/0860/8277806e-b684-4474-8f7b-3fca946d7d4f.jpg""]","",""
"","5052","similarity","51","390657","0.0-6.0-45.0","3","[""img/0766/6d32752d-aa05-40dc-9541-640b6e9d6fa1.jpg"",""img/0903/b548d383-2a95-4575-8c13-647873751ff1.jpg""]","",""
"","7272","similarity","52","398935","0.0-6.0-46.0","6","[""img/0901/875dedb9-24c9-4443-9f8c-85e97d70ee5a.jpg"",""img/0904/b5855d6a-7ef9-46ca-9215-6e9fa046e543.jpg""]","",""
"","4218","similarity","53","404159","0.0-6.0-47.0","2","[""img/0758/61d64021-9214-4951-bdf8-f871f9827cf9.jpg"",""img/0902/24d10fe7-314f-4d5a-8c7b-b43121bba0a4.jpg""]","",""
"","5409","similarity","54","410575","0.0-6.0-48.0","7","[""img/0764/974d52cc-6318-4e7a-b294-2f3e92ff800f.jpg"",""img/0764/c643e165-df19-459f-8c2b-8357bf432a17.jpg""]","",""
"","3548","similarity","55","415127","0.0-6.0-49.0","1","[""img/0866/945c6710-d15b-4a5b-a8f6-69af0850357f.jpg"",""img/0902/d49743d6-67ae-4c2e-a939-8fd895a0f18e.jpg""]","",""
