"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":3394}]","3395","instructions","0","3397","0.0-0.0","","","",""
"","14992","similarity_demo","1","19395","0.0-1.0","3","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":14757}]","14757","instructions","2","35152","0.0-2.0","","","",""
"","5983","similarity_demo","3","42138","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5870}]","5870","instructions","4","49007","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":19384}]","19384","instructions","5","69391","0.0-5.0","","","",""
"","4566","similarity","6","74961","0.0-6.0-0.0","2","[""img/0868/0d3abd3a-b6c3-4584-a9f7-e2da63748b3d.jpg"",""img/0901/f469cb1d-6d81-4a45-bab5-cd0b650c2b4f.jpg""]","",""
"","3909","similarity","7","79872","0.0-6.0-1.0","3","[""img/0769/1d8734c4-77ab-4165-9e71-5cfe672ff01c.jpg"",""img/0867/7d1c497b-c1b3-4ed8-abb5-d7f73306015f.jpg""]","",""
"","3324","similarity","8","84200","0.0-6.0-2.0","2","[""img/0766/717fd72f-a281-499b-a5ba-5e2ecc4d4866.jpg"",""img/0898/ec565187-2e31-4fdd-9a5c-153d0c789ae0.jpg""]","",""
"","4225","similarity","9","89432","0.0-6.0-3.0","3","[""img/0902/417d8b4a-3c72-4adc-ac78-820e833316f2.jpg"",""img/0881/d373cb9f-a719-4549-a2a4-82def79fb2a5.jpg""]","",""
"","4157","similarity","10","94593","0.0-6.0-4.0","5","[""img/0894/b2d2f66e-e480-46da-a02a-6d0c6b285d78.jpg"",""img/0894/38cf335f-f76f-4349-8d65-e20cd6859565.jpg""]","",""
"","4317","similarity","11","99912","0.0-6.0-5.0","3","[""img/0874/ca76a855-4e77-4f2f-872a-0a718153e7ed.jpg"",""img/0899/9de5e857-aa9a-4e0c-8ba2-46d79bd069a4.jpg""]","",""
"","4062","similarity","12","104977","0.0-6.0-6.0","3","[""img/0904/e9423a8c-f946-43ad-ab7b-931acef870e2.jpg"",""img/0764/83c93cce-18d1-4aa7-9e23-2c268afe0a46.jpg""]","",""
"","3069","similarity","13","109049","0.0-6.0-7.0","2","[""img/0899/93494f3b-d539-4075-b027-d82e344563da.jpg"",""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg""]","",""
"","3253","similarity","14","113306","0.0-6.0-8.0","1","[""img/0874/995f0332-0439-4eb4-add3-957335dbf6d9.jpg"",""img/0903/8635cf25-2648-4fe9-8c42-79d2598e999c.jpg""]","",""
"","4852","similarity","15","119161","0.0-6.0-9.0","6","[""img/0881/7e31e5dc-2240-4b1b-b5a0-3acd980099ef.jpg"",""img/0758/e38fd80d-18d0-42f3-b848-f930788e8bd7.jpg""]","",""
"","5357","similarity","16","125521","0.0-6.0-10.0","2","[""img/0898/8605a25b-6895-476d-8c13-df7a83f96093.jpg"",""img/0901/1e23ffbd-19de-4c4f-aa23-c54aaa3319a3.jpg""]","",""
"","3350","similarity","17","129874","0.0-6.0-11.0","4","[""img/0903/f45a103c-9bfe-49fd-ad96-bdd8d2589195.jpg"",""img/0769/91acb237-65a3-4d0b-9748-af5c7b83d3c7.jpg""]","",""
"","3693","similarity","18","134570","0.0-6.0-12.0","2","[""img/0764/6c7fe363-2d37-418f-9e5e-a3273af5d4fb.jpg"",""img/0868/293079b8-7e0c-4afd-a390-1e5d35fe3ded.jpg""]","",""
"","3861","similarity","19","139433","0.0-6.0-13.0","3","[""img/0867/1719a35d-f085-48c0-9099-16c94fe418b4.jpg"",""img/0903/b0a3c45f-467e-412f-a183-c9c1827f2e63.jpg""]","",""
"","5197","similarity","20","145633","0.0-6.0-14.0","1","[""img/0766/2e1cf445-9aef-40e7-92f4-5facf48b64c5.jpg"",""img/0758/a085b443-b5d7-4cb2-9ad4-b9dab0fc23f1.jpg""]","",""
"","4110","similarity","21","150747","0.0-6.0-15.0","5","[""img/0902/b03fee99-d5ca-4bf8-871c-a4a743a39842.jpg"",""img/0860/702bd09d-df3a-40aa-a267-5f04474305b5.jpg""]","",""
