"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":32860}]","32860","instructions","0","32861","0.0-0.0","","","",""
"","6431","similarity_demo","1","40297","0.0-1.0","3","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":20417}]","20418","instructions","2","61716","0.0-2.0","","","",""
"","5387","similarity_demo","3","68106","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7210}]","7210","instructions","4","76318","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":22917}]","22917","instructions","5","100236","0.0-5.0","","","",""
"","6208","similarity","6","107448","0.0-6.0-0.0","3","[""img/0868/77091fc7-a590-4ebb-b915-fdb2483a2399.jpg"",""img/0901/33b51a81-06d9-46d9-9d4f-5a2d6d6b8058.jpg""]","",""
"","4521","similarity","7","112972","0.0-6.0-1.0","3","[""img/0769/47700831-0ca2-4fdd-a498-a3bc5a528f43.jpg"",""img/0867/c71dc569-f49c-4397-8381-68b8d726736d.jpg""]","",""
"","3879","similarity","8","117854","0.0-6.0-2.0","6","[""img/0766/71b81ebd-0937-4d7f-b8bf-c4e46a4728fd.jpg"",""img/0898/4184e5a2-84ea-4f36-9b42-ae58646f6f87.jpg""]","",""
"","4555","similarity","9","123411","0.0-6.0-3.0","6","[""img/0902/417d8b4a-3c72-4adc-ac78-820e833316f2.jpg"",""img/0881/1407b85b-a1c6-45b1-9884-3b24203efadb.jpg""]","",""
"","4780","similarity","10","129194","0.0-6.0-4.0","7","[""img/0894/5f15154e-e72e-4ce5-aafb-bce6f0564006.jpg"",""img/0894/8cadb87a-7001-4e47-99fb-1867bebf1668.jpg""]","",""
"","4386","similarity","11","134583","0.0-6.0-5.0","3","[""img/0874/31e22c7c-99aa-40b1-bf03-dd73fa2df4d6.jpg"",""img/0899/0adc0bc3-6fca-4078-be6f-d45ddf1653d5.jpg""]","",""
"","5567","similarity","12","141153","0.0-6.0-6.0","7","[""img/0904/5cceabc9-de1d-4c67-989b-c28a4ef77e79.jpg"",""img/0764/21e3292f-01ad-4238-828b-61b817857d16.jpg""]","",""
"","3768","similarity","13","145923","0.0-6.0-7.0","6","[""img/0899/8de08897-b430-42fe-9d42-840670b80f94.jpg"",""img/0898/0c7dde4f-efce-4b7a-9387-6921635b7890.jpg""]","",""
"","3734","similarity","14","150659","0.0-6.0-8.0","5","[""img/0874/2c9464dd-8a23-4baa-ac94-1ba3af5c15cc.jpg"",""img/0903/5248eedd-7e6a-4d39-91b0-06ec227f3ed0.jpg""]","",""
"","3847","similarity","15","155508","0.0-6.0-9.0","7","[""img/0881/e6746727-7f89-47ec-b939-d98abe78372d.jpg"",""img/0758/2fa3e613-e676-4e6e-bd12-705327eeb3e1.jpg""]","",""
"","3362","similarity","16","159873","0.0-6.0-10.0","6","[""img/0898/6cd3830b-d44e-4915-be2b-88d31424b91c.jpg"",""img/0901/58ec7fa9-b466-4651-90aa-c082df0972de.jpg""]","",""
"","2372","similarity","17","163247","0.0-6.0-11.0","6","[""img/0903/5ea5bbe0-f238-4724-abe7-9ed8dee8c0ba.jpg"",""img/0769/0fe124d3-bcad-45f6-b64d-8f6eb8ee5251.jpg""]","",""
"","2598","similarity","18","166848","0.0-6.0-12.0","1","[""img/0764/1f95ab5f-fb65-4d70-b5db-d6bd6351a8aa.jpg"",""img/0868/5fa7f9d0-f0e5-454c-8224-74d964818f56.jpg""]","",""
"","2597","similarity","19","170448","0.0-6.0-13.0","3","[""img/0867/bf560d4f-dee3-4f11-a385-705cc1aa5f3c.jpg"",""img/0903/2a9c8033-3e70-47fa-816d-97ee1813a3a3.jpg""]","",""
"","2822","similarity","20","174273","0.0-6.0-14.0","2","[""img/0766/69e486f7-dbef-456b-9d48-53d814248a28.jpg"",""img/0758/dd559618-7f09-4a07-8018-d311c4a5ea29.jpg""]","",""
"","5624","similarity","21","180899","0.0-6.0-15.0","3","[""img/0902/0db94c50-f1fb-4091-953c-29ca0466bee2.jpg"",""img/0860/71e1aad0-2cdf-43bb-94a4-a8c016997c30.jpg""]","",""
"","2530","similarity","22","184431","0.0-6.0-16.0","1","[""img/0769/48a1144d-fbda-4809-991b-fc8424a32ee4.jpg"",""img/0875/e7e66b13-b573-431e-b85e-288ce04a35a3.jpg""]","",""
"","2496","similarity","23","187930","0.0-6.0-17.0","2","[""img/0904/2f88ce53-02d0-4f95-a082-182c56a0eeb4.jpg"",""img/0866/d266fece-59b3-46fa-b69f-96f6efb81b59.jpg""]","",""
"","2789","similarity","24","191721","0.0-6.0-18.0","7","[""img/0875/99698b4d-b4a1-44bc-8c83-8ea755bbbf61.jpg"",""img/0875/527ced51-8e53-4aab-ab05-86df219104c0.jpg""]","",""
"","1991","similarity","25","194714","0.0-6.0-19.0","7","[""img/0758/7fba58df-2a7a-4b76-8a8f-62739f97f271.jpg"",""img/0758/eabcd7a8-56ad-4fd2-bc24-90f6b7b33265.jpg""]","",""
"","2192","similarity","26","197909","0.0-6.0-20.0","3","[""img/0902/bd89a85f-3853-4786-acd6-98818ee29f1c.jpg"",""img/0874/3f471690-9788-4d03-90c7-f615aecef149.jpg""]","",""
"","3329","similarity","27","202240","0.0-6.0-21.0","5","[""img/0764/e0788029-9d7f-414c-b747-46d2a99f7c86.jpg"",""img/0769/14d393ce-e5be-4ca1-86ce-cc27d4b6074c.jpg""]","",""
"","2306","similarity","28","205548","0.0-6.0-22.0","2","[""img/0901/62315ff5-ed95-46b4-b099-92552079659b.jpg"",""img/0874/c0378dac-9370-439a-8b79-db27c96fb390.jpg""]","",""
"","2407","similarity","29","208957","0.0-6.0-23.0","1","[""img/0875/ebf7653f-ff45-4e9f-af58-2c042ab3cd2b.jpg"",""img/0903/0a92ec52-4e87-410a-857a-4455cde56a70.jpg""]","",""
"","2912","similarity","30","212872","0.0-6.0-24.0","2","[""img/0769/022c7e3b-c3f2-4119-b4bc-f22fa7cae18c.jpg"",""img/0881/14236cf2-6b95-48b8-9368-78af09d2d27f.jpg""]","",""
"","5218","similarity","31","219093","0.0-6.0-25.0","1","[""img/0867/c66898ba-b71b-4d50-84f9-f7f84853a98d.jpg"",""img/0904/0d25eb24-bb20-4e8d-9787-8b489558b4cb.jpg""]","",""
"","3205","similarity","32","223300","0.0-6.0-26.0","5","[""img/0860/c3379ff7-0763-48fe-a1ec-7ea3d611bc7a.jpg"",""img/0881/f4e3e181-b3c9-4af2-a5a4-fc135ab70d2e.jpg""]","",""
"","2406","similarity","33","226709","0.0-6.0-27.0","6","[""img/0866/d493a2c8-66eb-44b4-be02-2f327b700b7c.jpg"",""img/0866/02f5e6b9-52b7-448c-9708-5b460d0c9a23.jpg""]","",""
