"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":13136}]","13137","instructions","0","13139","0.0-0.0","","","",""
"","8092","similarity_demo","1","22245","0.0-1.0","1","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":12518}]","12519","instructions","2","35765","0.0-2.0","","","",""
"","6320","similarity_demo","3","43093","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5996}]","5997","instructions","4","50091","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":16811}]","16811","instructions","5","67902","0.0-5.0","","","",""
"","7727","similarity","6","76639","0.0-6.0-0.0","3","[""img/0868/83b4350a-3b70-4cea-b7f5-b5b56f3050a8.jpg"",""img/0901/ae1e6ce4-2e10-4ca9-b1e7-21628637ab74.jpg""]","",""
"","6314","similarity","7","83961","0.0-6.0-1.0","5","[""img/0769/9ea9ceb6-049e-4ad9-be8f-00645cd35803.jpg"",""img/0867/7d1c497b-c1b3-4ed8-abb5-d7f73306015f.jpg""]","",""
"","5559","similarity","8","90529","0.0-6.0-2.0","2","[""img/0766/51d3aab4-3d09-4dda-b99d-3dc7aaabc6f2.jpg"",""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg""]","",""
"","6362","similarity","9","97898","0.0-6.0-3.0","5","[""img/0902/cf9dee9c-2bdf-4d64-9302-97f1660fe52c.jpg"",""img/0881/2a8413be-fec2-4de6-88ad-614dd4cccc9d.jpg""]","",""
"","6137","similarity","10","105044","0.0-6.0-4.0","5","[""img/0894/2d2db7b3-e8a3-499b-b63a-14f51bf73882.jpg"",""img/0894/e2446cf5-cd48-486a-badc-76498e087fbe.jpg""]","",""
"","5106","similarity","11","111156","0.0-6.0-5.0","7","[""img/0874/ca76a855-4e77-4f2f-872a-0a718153e7ed.jpg"",""img/0899/51a7a498-98c7-42d7-bca8-bc2d8f0b5831.jpg""]","",""
"","5638","similarity","12","117800","0.0-6.0-6.0","5","[""img/0904/06dacdc5-2206-4fb8-92b7-88042d22833c.jpg"",""img/0764/4bec8d92-75aa-475a-954d-8215dbe538f5.jpg""]","",""
"","5135","similarity","13","123943","0.0-6.0-7.0","7","[""img/0899/1b3457ea-87d4-4946-a01c-aac1863ed46c.jpg"",""img/0898/a114b375-cb89-44ba-9498-74213f1ecdee.jpg""]","",""
"","7124","similarity","14","132075","0.0-6.0-8.0","3","[""img/0874/7e4f2150-3b59-4a36-b5da-a4e0ba410531.jpg"",""img/0903/150cf64c-0bd2-4674-abbb-a1387cf1f3e9.jpg""]","",""
