"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":18504}]","18505","instructions","0","18508","0.0-0.0","","","",""
"","4824","similarity_demo","1","24381","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7942}]","7943","instructions","2","33341","0.0-2.0","","","",""
"","4721","similarity_demo","3","39093","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":5244}]","5245","instructions","4","45354","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":11877}]","11878","instructions","5","58258","0.0-5.0","","","",""
"","3466","similarity","6","62768","0.0-6.0-0.0","1","[""img/0868/15dd6fd7-791e-4b53-b203-195d617521a4.jpg"",""img/0901/2a953e50-d237-405c-a38d-5ed21494c968.jpg""]","",""
"","3770","similarity","7","67580","0.0-6.0-1.0","2","[""img/0769/7c50e5f5-cc38-4d48-b009-fbe17bcea61c.jpg"",""img/0867/f8159067-056c-41f1-a136-c529fe5e970a.jpg""]","",""
"","4216","similarity","8","72830","0.0-6.0-2.0","2","[""img/0766/d919cedb-f9b7-4f30-83bb-3e9c65001ceb.jpg"",""img/0898/e167334e-cc1d-4986-b3b1-c7bc7da64baa.jpg""]","",""
"","5520","similarity","9","79376","0.0-6.0-3.0","5","[""img/0902/07437a16-3d0f-4a5c-89ec-36d0efa4b3b8.jpg"",""img/0881/405484ae-0d00-4b05-bc57-6420a36adfac.jpg""]","",""
"","6367","similarity","10","86789","0.0-6.0-4.0","7","[""img/0894/86201968-6e78-4d68-9b3a-d1692e066210.jpg"",""img/0894/9b1333fd-3561-43bf-aee5-99b7b7ca3dc3.jpg""]","",""
"","4903","similarity","11","92735","0.0-6.0-5.0","3","[""img/0874/3f471690-9788-4d03-90c7-f615aecef149.jpg"",""img/0899/93494f3b-d539-4075-b027-d82e344563da.jpg""]","",""
"","4067","similarity","12","97843","0.0-6.0-6.0","3","[""img/0904/4d7d70a3-9477-4921-bda0-f9531d0a5c5b.jpg"",""img/0764/cffc80b0-4a90-4acb-a530-6f480f3ca303.jpg""]","",""
"","3388","similarity","13","102265","0.0-6.0-7.0","3","[""img/0899/57476fed-5962-4272-8fc9-b317bb777b54.jpg"",""img/0898/661621d4-a14e-487c-8c74-354134a29710.jpg""]","",""
"","4610","similarity","14","107921","0.0-6.0-8.0","5","[""img/0874/a3bc679d-619f-4db6-bb68-116dcb757d9c.jpg"",""img/0903/aa842abe-6fa3-448a-bf71-88d3ad28663b.jpg""]","",""
"","3942","similarity","15","112897","0.0-6.0-9.0","6","[""img/0881/4bd34581-94d8-4e88-8c89-5cef864ca3be.jpg"",""img/0758/65d426d6-3ff6-415d-8654-a43b83ecc4fe.jpg""]","",""
"","3654","similarity","16","117601","0.0-6.0-10.0","3","[""img/0898/5f699581-3853-4547-856c-12f419ba5af7.jpg"",""img/0901/3db47171-0139-4235-82cd-0b1787b6775f.jpg""]","",""
"","5741","similarity","17","124367","0.0-6.0-11.0","2","[""img/0903/680ed18e-b311-4ecf-9b00-7dea32128334.jpg"",""img/0769/11518cb3-13ea-4dd0-890c-30cfab728ade.jpg""]","",""
"","5321","similarity","18","130732","0.0-6.0-12.0","3","[""img/0764/17b088f8-3053-4140-b544-d15654cc79ef.jpg"",""img/0868/e0aff734-077f-40dd-9781-74821abd3621.jpg""]","",""
"","3253","similarity","19","135030","0.0-6.0-13.0","1","[""img/0867/de92135f-5b65-4ed9-b245-188292c7c2f8.jpg"",""img/0903/0a92ec52-4e87-410a-857a-4455cde56a70.jpg""]","",""
"","3490","similarity","20","139561","0.0-6.0-14.0","1","[""img/0766/b84598d0-5b41-4841-88b0-b441b48289f5.jpg"",""img/0758/d540bee6-b460-4c32-ac57-bc282742d7d4.jpg""]","",""
"","3618","similarity","21","144209","0.0-6.0-15.0","5","[""img/0902/10d99c89-71f7-4c81-a31e-dfc7c59f5232.jpg"",""img/0860/c7047cd2-7cc1-41b6-8a34-c0986774975f.jpg""]","",""
"","5414","similarity","22","150670","0.0-6.0-16.0","3","[""img/0769/f73c5138-2f4c-4354-981c-129dff9cc734.jpg"",""img/0875/99698b4d-b4a1-44bc-8c83-8ea755bbbf61.jpg""]","",""
"","3760","similarity","23","155458","0.0-6.0-17.0","2","[""img/0904/da170c1b-9651-4f08-b231-2bdd1d9a046f.jpg"",""img/0866/23a224f3-2012-4fc8-8e0f-3c36f8de27fd.jpg""]","",""
"","4653","similarity","24","161138","0.0-6.0-18.0","5","[""img/0875/5a7c4e35-6514-4e12-8879-d16071da4cd6.jpg"",""img/0875/527ced51-8e53-4aab-ab05-86df219104c0.jpg""]","",""
"","5347","similarity","25","167512","0.0-6.0-19.0","6","[""img/0758/3ddd05d3-557e-4ee7-8b78-9d2d681d8ae2.jpg"",""img/0758/7ee8bc8f-c40b-4b3a-84ec-3e83580622d4.jpg""]","",""
"","3366","similarity","26","171911","0.0-6.0-20.0","5","[""img/0902/aa6fca32-82b0-4414-b20a-8f6f8aa5a2d2.jpg"",""img/0874/85eb9b8a-c4c6-4e5a-b8e7-363a87a82054.jpg""]","",""
"","4301","similarity","27","177246","0.0-6.0-21.0","3","[""img/0764/d7f3ac54-318a-4dac-a06b-62bed34d01a4.jpg"",""img/0769/878531fd-e0e8-4ad1-b9ad-f018bb104ca0.jpg""]","",""
"","3358","similarity","28","181637","0.0-6.0-22.0","1","[""img/0901/a373612d-67e2-4fec-9764-21d3d6ef6359.jpg"",""img/0874/1016b306-087c-4afc-aa08-fa527b28dc76.jpg""]","",""
"","4209","similarity","29","186887","0.0-6.0-23.0","4","[""img/0875/5a716432-c6ca-4b1c-955a-2b8ac25198ee.jpg"",""img/0903/70d764d9-1f35-4da7-a35d-4cc39834d270.jpg""]","",""
"","3717","similarity","30","191637","0.0-6.0-24.0","3","[""img/0769/8598a429-c671-4d2f-842c-32f681f5e412.jpg"",""img/0881/f4e3e181-b3c9-4af2-a5a4-fc135ab70d2e.jpg""]","",""
"","3006","similarity","31","195684","0.0-6.0-25.0","2","[""img/0867/cc72ed48-7704-422c-86d6-467a1145287a.jpg"",""img/0904/6291eb43-c10c-4810-a36a-101d09868b04.jpg""]","",""
"","4268","similarity","32","200987","0.0-6.0-26.0","5","[""img/0860/15b24a61-25be-4356-9eac-5ce95d0cb4a4.jpg"",""img/0881/db77fe00-aeb0-4d1d-aa66-f3a96fd077e4.jpg""]","",""
"","3378","similarity","33","205401","0.0-6.0-27.0","6","[""img/0866/620cd1aa-0800-4414-8f6e-90342e7a99ad.jpg"",""img/0866/945c6710-d15b-4a5b-a8f6-69af0850357f.jpg""]","",""
"","3480","similarity","34","209917","0.0-6.0-28.0","3","[""img/0764/b8e23f4f-ff19-4472-ad9b-2f85548ebca0.jpg"",""img/0862/ad593cc7-cabe-4bb7-8e14-8a447a0717b4.jpg""]","",""
"","4001","similarity","35","214963","0.0-6.0-29.0","3","[""img/0904/0d17b811-063e-416e-a23c-3b3cfa4fcce5.jpg"",""img/0758/53f35650-e455-4b53-8be4-c3c8271c6466.jpg""]","",""
"","3995","similarity","36","219994","0.0-6.0-30.0","5","[""img/0894/e2446cf5-cd48-486a-badc-76498e087fbe.jpg"",""img/0899/a05bea16-2bb4-4cb9-b8fb-4ff975db6971.jpg""]","",""
