"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":17943}]","17951","instructions","0","17957","0.0-0.0","","","",""
"","12776","similarity_demo","1","31790","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":15314}]","15315","instructions","2","48106","0.0-2.0","","","",""
"","7228","similarity_demo","3","56373","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7051}]","7055","instructions","4","64429","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":18202}]","18205","instructions","5","83636","0.0-5.0","","","",""
"","6540","similarity","6","91222","0.0-6.0-0.0","3","[""img/0868/15dd6fd7-791e-4b53-b203-195d617521a4.jpg"",""img/0901/0adb3bd6-d758-4ba7-9723-3ad6cac05bd5.jpg""]","",""
"","6851","similarity","7","99112","0.0-6.0-1.0","2","[""img/0769/965c3c44-d9e5-47c5-b61a-2bbdf4215d9a.jpg"",""img/0867/f26f6b60-f772-4f4c-95a4-addc62cfd692.jpg""]","",""
"","4419","similarity","8","104581","0.0-6.0-2.0","5","[""img/0766/0025de5e-f620-4079-8a0f-00326ff3a6b0.jpg"",""img/0898/26c41340-15bd-4ead-8fe4-c0d0ddca09c2.jpg""]","",""
"","5718","similarity","9","111363","0.0-6.0-3.0","6","[""img/0902/22ed3536-288b-452e-9777-0fa0ab94deb0.jpg"",""img/0881/405484ae-0d00-4b05-bc57-6420a36adfac.jpg""]","",""
"","6369","similarity","10","118778","0.0-6.0-4.0","5","[""img/0894/38f5931f-926d-414e-b498-66b188978b7a.jpg"",""img/0894/1a010553-d598-4b06-a772-81f1e7b3addb.jpg""]","",""
"","7108","similarity","11","126914","0.0-6.0-5.0","6","[""img/0874/3f471690-9788-4d03-90c7-f615aecef149.jpg"",""img/0899/1b3457ea-87d4-4946-a01c-aac1863ed46c.jpg""]","",""
"","6939","similarity","12","134885","0.0-6.0-6.0","5","[""img/0904/0d17b811-063e-416e-a23c-3b3cfa4fcce5.jpg"",""img/0764/21e3292f-01ad-4238-828b-61b817857d16.jpg""]","",""
