"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":16985}]","16986","instructions","0","16986","0.0-0.0","","","",""
"","8644","similarity_demo","1","26640","0.0-1.0","6","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":16847}]","16847","instructions","2","44488","0.0-2.0","","","",""
"","4922","similarity_demo","3","50418","0.0-3.0","4","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":9801}]","9801","instructions","4","61222","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":53461}]","53461","instructions","5","115683","0.0-5.0","","","",""
"","4540","similarity","6","121232","0.0-6.0-0.0","3","[""img/0868/7b212364-ff5f-4e28-9241-7eb6ea00161b.jpg"",""img/0901/a2d7b2f6-396b-4d91-8403-de5361c74af7.jpg""]","",""
"","8048","similarity","7","130284","0.0-6.0-1.0","3","[""img/0769/9ea9ceb6-049e-4ad9-be8f-00645cd35803.jpg"",""img/0867/a749dddb-69f0-44a6-acdc-2bf295cf6dcc.jpg""]","",""
"","5077","similarity","8","136372","0.0-6.0-2.0","6","[""img/0766/79767d11-b612-4e8a-9e4b-a8ac95bb6a54.jpg"",""img/0898/81b08535-2020-4c15-9ce4-2f1e460755ae.jpg""]","",""
"","4720","similarity","9","142098","0.0-6.0-3.0","4","[""img/0902/2db723b6-130f-454c-8c8d-88829edbcd65.jpg"",""img/0881/84397291-bc14-4fbf-90e8-241e486ab0fe.jpg""]","",""
"","5016","similarity","10","148120","0.0-6.0-4.0","6","[""img/0894/661b9f9f-4bde-487a-b1ed-87085fde6948.jpg"",""img/0894/133a1636-d123-4893-873c-1718050f832a.jpg""]","",""
"","4335","similarity","11","153460","0.0-6.0-5.0","2","[""img/0874/1016b306-087c-4afc-aa08-fa527b28dc76.jpg"",""img/0899/fef567a2-c121-4481-9af0-ff108d199bbf.jpg""]","",""
"","4871","similarity","12","159336","0.0-6.0-6.0","6","[""img/0904/1d10df11-b5c8-4370-9a6b-097a7f965895.jpg"",""img/0764/8389e74f-e0e0-435d-945f-da1f4c92ccb6.jpg""]","",""
"","4392","similarity","13","164734","0.0-6.0-7.0","6","[""img/0899/06b0fc99-0581-461a-9913-d1a5a941ac61.jpg"",""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg""]","",""
"","6029","similarity","14","171769","0.0-6.0-8.0","3","[""img/0874/93d1f8dc-acf2-4f03-bd8d-8ec35df276ed.jpg"",""img/0903/14f179a2-8786-48a2-8377-88d1d404341b.jpg""]","",""
