"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":11606}]","11606","instructions","0","11607","0.0-0.0","","","",""
"","5739","similarity_demo","1","18359","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":6188}]","6189","instructions","2","25549","0.0-2.0","","","",""
"","5637","similarity_demo","3","32196","0.0-3.0","2","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":4278}]","4278","instructions","4","37476","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":14815}]","14815","instructions","5","53293","0.0-5.0","","","",""
"","6448","similarity","6","60747","0.0-6.0-0.0","3","[""img/0868/8b0b8473-e2c0-4331-aa56-c3a5c29369da.jpg"",""img/0901/12da1841-e611-435c-9719-109413d536a8.jpg""]","",""
"","4569","similarity","7","66320","0.0-6.0-1.0","5","[""img/0769/ebef2ddc-ba59-4e0e-97f8-927864eb5081.jpg"",""img/0867/ac1797e4-8afc-48fe-b252-86d1defb1cca.jpg""]","",""
"","4774","similarity","8","72099","0.0-6.0-2.0","4","[""img/0766/0025de5e-f620-4079-8a0f-00326ff3a6b0.jpg"",""img/0898/a114b375-cb89-44ba-9498-74213f1ecdee.jpg""]","",""
"","5128","similarity","9","78231","0.0-6.0-3.0","3","[""img/0902/b03fee99-d5ca-4bf8-871c-a4a743a39842.jpg"",""img/0881/4da99fdd-1f40-4bbb-8e21-8833eef313f5.jpg""]","",""
"","4638","similarity","10","83874","0.0-6.0-4.0","5","[""img/0894/3adef67d-7676-4995-80b2-bb31b8aca3ef.jpg"",""img/0894/5a49e858-2850-4892-9a06-e9f0efb5f94d.jpg""]","",""
"","4146","similarity","11","89025","0.0-6.0-5.0","6","[""img/0874/99f6563c-8a8d-4c1c-a41d-667b618c3fd5.jpg"",""img/0899/06b0fc99-0581-461a-9913-d1a5a941ac61.jpg""]","",""
"","5527","similarity","12","95556","0.0-6.0-6.0","5","[""img/0904/63dd06dd-dccb-47ba-9740-eb33239e18a7.jpg"",""img/0764/f9f890e6-3c2f-40cd-84e9-85e0b54cb28e.jpg""]","",""
"","4102","similarity","13","100664","0.0-6.0-7.0","3","[""img/0899/93494f3b-d539-4075-b027-d82e344563da.jpg"",""img/0898/40f99fb2-64d2-4e72-8a7f-a1cf60741e69.jpg""]","",""
"","3510","similarity","14","105179","0.0-6.0-8.0","2","[""img/0874/85eb9b8a-c4c6-4e5a-b8e7-363a87a82054.jpg"",""img/0903/0a92ec52-4e87-410a-857a-4455cde56a70.jpg""]","",""
"","4700","similarity","15","110886","0.0-6.0-9.0","6","[""img/0881/d373cb9f-a719-4549-a2a4-82def79fb2a5.jpg"",""img/0758/67c0be2f-9e91-48b3-8219-70ac0a1802fa.jpg""]","",""
"","5947","similarity","16","117837","0.0-6.0-10.0","6","[""img/0898/79233891-305a-4a6a-8ddf-5c8604858203.jpg"",""img/0901/693e0535-ef7e-4d60-af9d-fac2f38e8307.jpg""]","",""
"","6325","similarity","17","125166","0.0-6.0-11.0","5","[""img/0903/b4a0f61e-a964-4b79-a9a7-f767a8f92f34.jpg"",""img/0769/04347740-f8f6-48bb-887a-f68babd0a0d4.jpg""]","",""
"","4701","similarity","18","130871","0.0-6.0-12.0","2","[""img/0764/bc3865c9-9004-4582-88a7-048478673f97.jpg"",""img/0868/179a5502-ab5c-478e-8263-5a1fbcc101d2.jpg""]","",""
"","4061","similarity","19","135935","0.0-6.0-13.0","3","[""img/0867/6e19c858-b606-45b2-a4c6-910a73f1d82c.jpg"",""img/0903/680ed18e-b311-4ecf-9b00-7dea32128334.jpg""]","",""
"","4191","similarity","20","141133","0.0-6.0-14.0","3","[""img/0766/717fd72f-a281-499b-a5ba-5e2ecc4d4866.jpg"",""img/0758/7fba58df-2a7a-4b76-8a8f-62739f97f271.jpg""]","",""
"","5350","similarity","21","147487","0.0-6.0-15.0","4","[""img/0902/af45fe42-178c-4c1a-99ef-256e87e3b092.jpg"",""img/0860/c7047cd2-7cc1-41b6-8a34-c0986774975f.jpg""]","",""
"","6225","similarity","22","154718","0.0-6.0-16.0","2","[""img/0769/f73c5138-2f4c-4354-981c-129dff9cc734.jpg"",""img/0875/fb732ab5-013a-4366-9f65-27811ed157e9.jpg""]","",""
"","3890","similarity","23","159620","0.0-6.0-17.0","2","[""img/0904/96e503ea-6630-4996-85f2-0237688ce441.jpg"",""img/0866/93a27239-8317-4e08-98ca-d8b1ff298e07.jpg""]","",""
"","4087","similarity","24","164712","0.0-6.0-18.0","7","[""img/0875/42910c99-5463-450a-a0f8-d4d060a11455.jpg"",""img/0875/5a716432-c6ca-4b1c-955a-2b8ac25198ee.jpg""]","",""
"","3271","similarity","25","168987","0.0-6.0-19.0","7","[""img/0758/f61ecdf8-a7d4-4db0-b84d-be46f7cfaffc.jpg"",""img/0758/61d64021-9214-4951-bdf8-f871f9827cf9.jpg""]","",""
"","3879","similarity","26","173873","0.0-6.0-20.0","4","[""img/0902/31abfa33-7cdb-44ad-968e-9f7b324d577a.jpg"",""img/0874/bf14b896-e930-4fd9-9c05-2e83317a2773.jpg""]","",""
"","2819","similarity","27","177698","0.0-6.0-21.0","3","[""img/0764/fb92924f-5cfe-4b89-b130-0cce8cc5636b.jpg"",""img/0769/5bd04f55-d091-4f57-85db-38426f26bd1a.jpg""]","",""
"","3837","similarity","28","182541","0.0-6.0-22.0","2","[""img/0901/4ca4f962-40c0-4c59-b14a-3cd7b8c9029b.jpg"",""img/0874/2c9464dd-8a23-4baa-ac94-1ba3af5c15cc.jpg""]","",""
"","3350","similarity","29","186897","0.0-6.0-23.0","3","[""img/0875/d59ff733-eaff-4ee2-9443-06954dd0bcb6.jpg"",""img/0903/c3cb4a01-2797-43ca-b216-88c67b323fbb.jpg""]","",""
"","4435","similarity","30","192337","0.0-6.0-24.0","3","[""img/0769/b664b502-a86c-46c1-ad6f-5ebffc2e1bd3.jpg"",""img/0881/f6bd3b96-dc40-4e99-8681-bc3a35cf896d.jpg""]","",""
"","2825","similarity","31","196166","0.0-6.0-25.0","3","[""img/0867/179ab87a-8eac-4c52-a41f-2e48e3120f09.jpg"",""img/0904/2c98dc56-88d1-4fb5-a999-b6a7861f65f0.jpg""]","",""
"","3820","similarity","32","200992","0.0-6.0-26.0","3","[""img/0860/c47fdead-eb02-4989-b078-26f4852f44fe.jpg"",""img/0881/d1982897-8d8d-4704-a940-1ee5d07a1f15.jpg""]","",""
"","4313","similarity","33","206311","0.0-6.0-27.0","3","[""img/0866/386235d2-6857-41e7-88a8-25cfc3430025.jpg"",""img/0866/c446214b-a368-4c65-ae39-ea46894256ab.jpg""]","",""
"","3940","similarity","34","211257","0.0-6.0-28.0","3","[""img/0764/a3226bc4-dcc3-4608-bde8-1414d685ce5c.jpg"",""img/0862/4f0a3b4c-afbf-486e-b248-1d54982f54b4.jpg""]","",""
"","4603","similarity","35","216867","0.0-6.0-29.0","1","[""img/0904/5aec2708-cf14-4a58-aa30-9a8a61c1be0e.jpg"",""img/0758/d540bee6-b460-4c32-ac57-bc282742d7d4.jpg""]","",""
"","2816","similarity","36","220690","0.0-6.0-30.0","3","[""img/0894/492d2f29-d7b9-4422-8be8-47fd58bfaa8b.jpg"",""img/0899/a05bea16-2bb4-4cb9-b8fb-4ff975db6971.jpg""]","",""
"","4386","similarity","37","226083","0.0-6.0-31.0","3","[""img/0860/94ef7afc-e0e6-4a15-98c6-0bfac82bc832.jpg"",""img/0904/5cceabc9-de1d-4c67-989b-c28a4ef77e79.jpg""]","",""
"","5261","similarity","38","232349","0.0-6.0-32.0","5","[""img/0874/31e22c7c-99aa-40b1-bf03-dd73fa2df4d6.jpg"",""img/0881/e6746727-7f89-47ec-b939-d98abe78372d.jpg""]","",""
"","4359","similarity","39","237712","0.0-6.0-33.0","3","[""img/0881/dea58fad-b4f1-41d9-bd3f-916eff19a3fd.jpg"",""img/0899/d60714ae-98d7-4564-8c98-94dba1351135.jpg""]","",""
"","3181","similarity","40","241897","0.0-6.0-34.0","3","[""img/0866/bf14b5bd-fb55-47db-86b9-4f8aeb9a6dad.jpg"",""img/0862/92fcd8a4-8193-4a6a-ae09-dd4a6338b0df.jpg""]","",""
"","3459","similarity","41","246358","0.0-6.0-35.0","4","[""img/0868/7b212364-ff5f-4e28-9241-7eb6ea00161b.jpg"",""img/0894/bd34223a-2f66-4e16-9d18-193a746b69ff.jpg""]","",""
"","4000","similarity","42","251362","0.0-6.0-36.0","6","[""img/0860/c5ccd1a4-4bb7-48e1-9b25-72cfaf06909b.jpg"",""img/0860/fd4662f9-4c03-4d79-8593-06735e55a64b.jpg""]","",""
"","3759","similarity","43","256125","0.0-6.0-37.0","3","[""img/0862/de9ad88c-b522-430a-8ee9-eb06a9f85df5.jpg"",""img/0864/e02eddb5-f468-499c-91bf-f7be3ffe979b.jpg""]","",""
"","3319","similarity","44","260449","0.0-6.0-38.0","1","[""img/0766/fd74fdbb-ea40-4f3a-a091-38d08dfd636e.jpg"",""img/0866/a15b02be-11bb-43e3-b0e0-ecc3bd7dfc49.jpg""]","",""
"","4352","similarity","45","265807","0.0-6.0-39.0","2","[""img/0875/cff79b3a-a797-4393-9757-6275f999ec04.jpg"",""img/0898/a8f16b02-e19f-423b-86c3-a36562ae1f9b.jpg""]","",""
"","2641","similarity","46","269452","0.0-6.0-40.0","3","[""img/0766/a754e4b6-5019-4cf4-8f58-34c20547a1f5.jpg"",""img/0769/d1be2815-fa79-46e8-b5c3-7d81caaca490.jpg""]","",""
"","3386","similarity","47","281805","0.0-6.0-41.0","3","[""img/0874/93d1f8dc-acf2-4f03-bd8d-8ec35df276ed.jpg"",""img/0764/f990b2e8-ecee-481e-be7c-0239fce350e2.jpg""]","",""
"","3625","similarity","48","286433","0.0-6.0-42.0","2","[""img/0868/5fa7f9d0-f0e5-454c-8224-74d964818f56.jpg"",""img/0902/b76efc44-a50f-4dac-b997-ff0222376067.jpg""]","",""
"","3914","similarity","49","291352","0.0-6.0-43.0","3","[""img/0875/dbdd643e-6d0e-4a5c-ab57-b9c29b9c981a.jpg"",""img/0899/d8f2dd94-570e-4e8c-a087-d96090fb9e8c.jpg""]","",""
"","3629","similarity","50","295986","0.0-6.0-44.0","5","[""img/0866/4a87911a-d5be-4d4e-ab8e-3d1f581bf507.jpg"",""img/0860/31ff6436-98bf-4652-bed2-40f627229568.jpg""]","",""
"","3399","similarity","51","300390","0.0-6.0-45.0","3","[""img/0766/5d6e0d1d-4369-41f0-a64c-91f3503055c7.jpg"",""img/0903/31b5a5f4-b695-4af1-bad2-a19650a05498.jpg""]","",""
"","2910","similarity","52","304304","0.0-6.0-46.0","3","[""img/0901/a2d7b2f6-396b-4d91-8403-de5361c74af7.jpg"",""img/0904/9dd5708f-3f8b-46a9-b49f-2f2fab87b357.jpg""]","",""
"","3768","similarity","53","309076","0.0-6.0-47.0","3","[""img/0758/53f35650-e455-4b53-8be4-c3c8271c6466.jpg"",""img/0902/94ee9c53-a9a2-4f95-b9b7-794a5fc62bb6.jpg""]","",""
"","3278","similarity","54","313358","0.0-6.0-48.0","5","[""img/0764/c01e2d65-6586-441b-bef5-3c96fcd85380.jpg"",""img/0764/4952d0a0-c9be-471a-8ec7-94a37bf4051d.jpg""]","",""
"","3334","similarity","55","317699","0.0-6.0-49.0","3","[""img/0866/07c9c966-3c8d-40e7-8128-92b2acbaed5d.jpg"",""img/0902/7f1dcd35-237a-4995-9e42-7f63f3f434d4.jpg""]","",""
"","5226","similarity","56","323931","0.0-6.0-50.0","2","[""img/0764/b8e23f4f-ff19-4472-ad9b-2f85548ebca0.jpg"",""img/0758/9fb5b2fe-3f00-4fe6-973c-1ce10d5f4cd5.jpg""]","",""
"","2898","similarity","57","327833","0.0-6.0-51.0","4","[""img/0898/f3a3f225-1248-4ac7-b93b-f0ff28485bf3.jpg"",""img/0894/5ff3c4f6-52e2-4075-8679-be0312e59703.jpg""]","",""
"","3190","similarity","58","332027","0.0-6.0-52.0","4","[""img/0875/f87b67d7-c33e-40d1-b281-248c4be1cb6e.jpg"",""img/0866/945c6710-d15b-4a5b-a8f6-69af0850357f.jpg""]","",""
"","4592","similarity","59","337624","0.0-6.0-53.0","7","[""img/0904/4e58005d-a2ec-4aaa-b199-445343561396.jpg"",""img/0904/a8c3c7d2-9bcf-4347-9e03-8203adfc1fc5.jpg""]","",""
"","3700","similarity","60","342327","0.0-6.0-54.0","6","[""img/0769/bb8c4e53-6f32-4814-97ee-392d4decfb2e.jpg"",""img/0769/96556ef3-7fac-4c9d-8281-1cb0ea5081bc.jpg""]","",""
"","3738","similarity","61","347070","0.0-6.0-55.0","2","[""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg"",""img/0758/a085b443-b5d7-4cb2-9ad4-b9dab0fc23f1.jpg""]","",""
"","3772","similarity","62","351846","0.0-6.0-56.0","5","[""img/0769/7c50e5f5-cc38-4d48-b009-fbe17bcea61c.jpg"",""img/0902/c920f0e1-1c81-480f-a164-c77f2dc6ce9a.jpg""]","",""
"","2761","similarity","63","355612","0.0-6.0-57.0","3","[""img/0864/6f631579-acf1-415c-a42c-1207f62a8d99.jpg"",""img/0881/84397291-bc14-4fbf-90e8-241e486ab0fe.jpg""]","",""
"","3609","similarity","64","360225","0.0-6.0-58.0","1","[""img/0758/d57c2592-a317-4f63-91be-91a3a9afd222.jpg"",""img/0868/83b4350a-3b70-4cea-b7f5-b5b56f3050a8.jpg""]","",""
"","3215","similarity","65","364446","0.0-6.0-59.0","5","[""img/0862/e0f1a4e9-e1b6-45f7-af67-89f334e6630d.jpg"",""img/0769/76eaa4a3-dfe9-4dc1-9efb-caebe86264e1.jpg""]","",""
"","3142","similarity","66","368592","0.0-6.0-60.0","2","[""img/0764/978aede9-4590-4ad0-b234-135c83e5d669.jpg"",""img/0903/e2e55a9e-0397-4dc0-8adf-4a54cfefe1fe.jpg""]","",""
"","3644","similarity","67","373239","0.0-6.0-61.0","6","[""img/0899/8de08897-b430-42fe-9d42-840670b80f94.jpg"",""img/0899/0e1d936a-dbe2-4afc-9f19-7b7a1ae6c9ed.jpg""]","",""
"","2865","similarity","68","377109","0.0-6.0-62.0","4","[""img/0860/17b44a7d-c5ca-479f-9e87-f65a64f5c80e.jpg"",""img/0875/03c3c331-738b-4446-af92-3d7386b08c2e.jpg""]","",""
"","2954","similarity","69","381067","0.0-6.0-63.0","2","[""img/0868/e0aff734-077f-40dd-9781-74821abd3621.jpg"",""img/0874/c0378dac-9370-439a-8b79-db27c96fb390.jpg""]","",""
