"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":36258}]","36258","instructions","0","36259","0.0-0.0","","","",""
"","9227","similarity_demo","1","46510","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":9409}]","9409","instructions","2","56940","0.0-2.0","","","",""
"","6377","similarity_demo","3","64327","0.0-3.0","3","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":8390}]","8390","instructions","4","73723","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":12359}]","12359","instructions","5","87092","0.0-5.0","","","",""
"","5862","similarity","6","93977","0.0-6.0-0.0","2","[""img/0868/fd307a36-9a3a-47d7-ab7c-f810d0b35040.jpg"",""img/0901/a9b9c0a0-8aed-4888-a78a-65fb7e764d13.jpg""]","",""
"","4675","similarity","7","99658","0.0-6.0-1.0","3","[""img/0769/c7cfacc3-7f07-46ff-9f5d-8073f4c4679b.jpg"",""img/0867/f8159067-056c-41f1-a136-c529fe5e970a.jpg""]","",""
"","4153","similarity","8","104826","0.0-6.0-2.0","3","[""img/0766/33519c22-aaa4-49d7-8d49-ab551db1945e.jpg"",""img/0898/881e2a85-d5c2-49be-a0c6-8a6ce2c4af08.jpg""]","",""
"","5127","similarity","9","110961","0.0-6.0-3.0","2","[""img/0902/af40b98b-3d23-4d95-b401-49ba5783ce39.jpg"",""img/0881/33d65d80-8a8e-4ecf-852d-0ad7725c17a2.jpg""]","",""
"","5210","similarity","10","117180","0.0-6.0-4.0","6","[""img/0894/151063aa-6472-4745-837b-36603aba5966.jpg"",""img/0894/38cf335f-f76f-4349-8d65-e20cd6859565.jpg""]","",""
"","5027","similarity","11","123210","0.0-6.0-5.0","2","[""img/0874/7e4f2150-3b59-4a36-b5da-a4e0ba410531.jpg"",""img/0899/56a605c3-d0a2-4215-89e1-779279d85a7c.jpg""]","",""
"","6728","similarity","12","130959","0.0-6.0-6.0","5","[""img/0904/5cceabc9-de1d-4c67-989b-c28a4ef77e79.jpg"",""img/0764/e30dba15-e68a-4659-89db-e1654b52fe02.jpg""]","",""
"","3329","similarity","13","135310","0.0-6.0-7.0","5","[""img/0899/ad8268c5-8199-48d0-ad70-c5b6d6c599ec.jpg"",""img/0898/40f99fb2-64d2-4e72-8a7f-a1cf60741e69.jpg""]","",""
"","2960","similarity","14","139275","0.0-6.0-8.0","2","[""img/0874/a82926a3-0b43-4add-803c-d5f9ea7798ee.jpg"",""img/0903/72197c2b-403e-4a26-b391-f1aa8dea4b76.jpg""]","",""
"","4717","similarity","15","145009","0.0-6.0-9.0","3","[""img/0881/ed4c971f-0873-4fc8-b6d6-e8bbd82f0bcc.jpg"",""img/0758/821c68d3-5cb0-4eae-8659-30e6263fca39.jpg""]","",""
"","3211","similarity","16","149226","0.0-6.0-10.0","3","[""img/0898/cd3aaa3f-efa9-4ab3-8d6f-a6a9273ddf42.jpg"",""img/0901/0adb3bd6-d758-4ba7-9723-3ad6cac05bd5.jpg""]","",""
