"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":26392}]","26393","instructions","0","26393","0.0-0.0","","","",""
"","8233","similarity_demo","1","35631","0.0-1.0","5","[""img/866.jpg"",""img/868.jpg""]","",""
"[{""page_index"":0,""viewing_time"":6661}]","6662","instructions","2","43294","0.0-2.0","","","",""
"","5554","similarity_demo","3","49851","0.0-3.0","1","[""img/766.jpg"",""img/867.jpg""]","",""
"[{""page_index"":0,""viewing_time"":7020}]","7020","instructions","4","57872","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":49360}]","49360","instructions","5","108233","0.0-5.0","","","",""
"","5968","similarity","6","115206","0.0-6.0-0.0","1","[""img/0868/7b212364-ff5f-4e28-9241-7eb6ea00161b.jpg"",""img/0901/ae1e6ce4-2e10-4ca9-b1e7-21628637ab74.jpg""]","",""
"","5934","similarity","7","122143","0.0-6.0-1.0","1","[""img/0769/14d393ce-e5be-4ca1-86ce-cc27d4b6074c.jpg"",""img/0867/db7e032f-162b-46f5-ae67-2b29679adee4.jpg""]","",""
"","5217","similarity","8","128365","0.0-6.0-2.0","5","[""img/0766/f011ef45-fb48-44b8-8224-867ed2ccf786.jpg"",""img/0898/e167334e-cc1d-4986-b3b1-c7bc7da64baa.jpg""]","",""
"","5573","similarity","9","134940","0.0-6.0-3.0","5","[""img/0902/cf9dee9c-2bdf-4d64-9302-97f1660fe52c.jpg"",""img/0881/f62bdcd1-a4b7-4d48-83da-d9c9e01c8727.jpg""]","",""
"","6610","similarity","10","142553","0.0-6.0-4.0","7","[""img/0894/bd34223a-2f66-4e16-9d18-193a746b69ff.jpg"",""img/0894/7fb082e0-ce79-485c-9109-04367fb32275.jpg""]","",""
"","5413","similarity","11","148968","0.0-6.0-5.0","2","[""img/0874/85eb9b8a-c4c6-4e5a-b8e7-363a87a82054.jpg"",""img/0899/5b56dd3e-3f49-47cc-af84-16da6457753b.jpg""]","",""
"","6163","similarity","12","156134","0.0-6.0-6.0","2","[""img/0904/6291eb43-c10c-4810-a36a-101d09868b04.jpg"",""img/0764/713cc27e-2338-4486-bfe9-5f5725fbd7a0.jpg""]","",""
"","5480","similarity","13","162616","0.0-6.0-7.0","1","[""img/0899/51a7a498-98c7-42d7-bca8-bc2d8f0b5831.jpg"",""img/0898/82231d4c-218b-4d0a-b50d-35a49b524e97.jpg""]","",""
"","3768","similarity","14","167387","0.0-6.0-8.0","1","[""img/0874/3ce41e7c-40c8-4d58-a546-171114521796.jpg"",""img/0903/8635cf25-2648-4fe9-8c42-79d2598e999c.jpg""]","",""
"","3881","similarity","15","172271","0.0-6.0-9.0","1","[""img/0881/db77fe00-aeb0-4d1d-aa66-f3a96fd077e4.jpg"",""img/0758/d540bee6-b460-4c32-ac57-bc282742d7d4.jpg""]","",""
"","4507","similarity","16","177781","0.0-6.0-10.0","1","[""img/0898/26c41340-15bd-4ead-8fe4-c0d0ddca09c2.jpg"",""img/0901/a6c90438-fa7c-4418-ac7c-16c2e772dd98.jpg""]","",""
"","4824","similarity","17","183607","0.0-6.0-11.0","5","[""img/0903/70d764d9-1f35-4da7-a35d-4cc39834d270.jpg"",""img/0769/35f2dd39-40aa-498e-b401-9f1ef2622d00.jpg""]","",""
"","3312","similarity","18","187921","0.0-6.0-12.0","1","[""img/0764/f64dfa83-333d-494c-87b5-73e942f1766e.jpg"",""img/0868/5fa7f9d0-f0e5-454c-8224-74d964818f56.jpg""]","",""
"","3557","similarity","19","192481","0.0-6.0-13.0","1","[""img/0867/f8488a47-94ee-4166-952c-44e16cf172f6.jpg"",""img/0903/f10e9eb5-0c21-4a6a-944c-5f10a6d0fa4d.jpg""]","",""
